TF-IDF,Word2Vec,BERT
0.6060207595147521,0.7999665949663077,0.5913727951931066
0.5840393019088024,0.7886984578746036,0.5827410372596642
0.5218740925365256,0.7857157796565486,0.5803123595786562
0.46663912578244454,0.7843643357936949,0.5657603535574568
0.4527394385737759,0.782115549541597,0.5655572674766148
0.41460146545810805,0.7781976016432764,0.5643234683919304
0.410260603839828,0.7780525635530277,0.5638817688206049
0.4075373423653902,0.7768387219236917,0.5571541146009558
0.40748781786572186,0.7763008118795822,0.5552696486125652
0.3895187075930933,0.7747921815140797,0.553027847232944
