TF-IDF,Word2Vec,BERT
0.6766724791678412,0.9103004172692977,0.6630482249344751
0.47194954558545005,0.9079058122262996,0.6525946642734893
0.41910700150655716,0.9076268777443317,0.650186204323314
0.4048388150841089,0.9065189582003765,0.6452648775528238
0.3826081499073198,0.9013652778354524,0.6448759239842828
0.33248960020246365,0.9013202148370416,0.6398558873047102
0.3235827918245,0.9005270178135704,0.6391638627180213
0.32199436795813696,0.8990669861526075,0.6372542086312629
0.3204173659380157,0.8988615534648189,0.635961019456263
0.31733574582018614,0.8987279135962717,0.6359216625027156
