TF-IDF,Word2Vec,BERT
0.41859250310307117,0.8804351679738253,0.6608634249933875
0.41855780134426196,0.8724038852330157,0.6583621914803433
0.4181653049714962,0.8688788661100442,0.6459050388017321
0.41421192449450583,0.8681148289957673,0.6426647826034586
0.4114568303824704,0.8680362722058557,0.6410089353429972
0.4064932803784154,0.8656683154224911,0.6397819574005122
0.4016775009312981,0.8646368728340202,0.6395845924581912
0.4006263233922702,0.8640794833496604,0.6384377753873216
0.3647325103899334,0.8624388321416566,0.6372358858563435
0.3483114630593385,0.8608223296821725,0.6369015441966972
